cutoff_year,hidden_idx_in_all_data,hidden_name,hidden_year,hidden_cid,hidden_smiles,hidden_smiles_canonical,hit,hit_by_cid,hit_by_raw_smiles,hit_by_canonical_smiles,n_recommended
2021,118,L-LiMCFB,2025,,F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+],COCCOCCOCCOCCOCCO[B-](F)(F)F.[Li+],False,False,False,False,348
2021,119,Li2TB,2025,,[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O,O=BOB([O-])OB([O-])OB=O.[Li+].[Li+],False,False,False,False,348
2021,120,LiBPh4,2025,,C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+],[Li+].c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,False,False,False,False,348
2021,121,LiFPB,2025,,FC(C1(C(F)(F)F)O[B-]2(OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)OC1(C(F)(F)F)C(F)(F)F)(F)F.[Li+],FC(F)(F)C1(C(F)(F)F)O[B-]2(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2.[Li+],False,False,False,False,348
2021,122,LiT4PAB,2025,,C=CCCC(O[B-](OC(CCC=C)=O)(OC(CCC=C)=O)OC(CCC=C)=O)=O.[Li+],C=CCCC(=O)O[B-](OC(=O)CCC=C)(OC(=O)CCC=C)OC(=O)CCC=C.[Li+],False,False,False,False,348
2021,123,MDMB,2025,,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,COB(OC)c1c(C)cc(C)cc1C,False,False,False,False,348
2021,124,NHCABT,2025,,FB(F)F.CN1CCN(C)C1,CN1CCN(C)C1.FB(F)F,False,False,False,False,348
2021,125,NaTFPB,2025,,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+],FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],False,False,False,False,348
2023,106,B(HFIP)3,2024,,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OB(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,True,False,True,True,825
2023,107,ITD,2024,,C(C)(C)OB1OC(C(O1)(C)C)(C)C,CC(C)OB1OC(C)(C)C(C)(C)O1,True,False,False,True,825
2023,108,K2B4O5(OH)4,2024,,B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+],[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],False,False,False,False,825
2023,109,LiB5AB,2024,,B([O-])([O-])[O-].NC1=CC=C(C(C(=O)O)=C1)O.NC1=CC=C(C(C(=O)O)=C1)O.[Li+].[Li+].[Li+],Nc1ccc(O)c(C(=O)O)c1.Nc1ccc(O)c(C(=O)O)c1.[Li+].[Li+].[Li+].[O-]B([O-])[O-],False,False,False,False,825
2023,110,NaDFOB,2024,,[Na+].O=C1O[B-](F)(F)OC1=O,O=C1O[B-](F)(F)OC1=O.[Na+],False,False,False,False,825
2023,111,Na[B(hfip)4],2024,,FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F.[Na+],FC(F)(F)C(O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F.[Na+],False,False,False,False,825
2023,112,SOFPB,2024,,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,CC1(C)OB(c2cc(O[Si](C)(C)C(C)(C)C)ccc2F)OC1(C)C,False,False,False,False,825
2023,113,TBB,2024,,B(OCCCC)(OCCCC)OCCCC,CCCCOB(OCCCC)OCCCC,True,False,True,True,825
2023,114,TMSPB,2024,,C[Si](C=1C=C(C=CC1)B(O)O)(C)C,C[Si](C)(C)c1cccc(B(O)O)c1,False,False,False,False,825
2023,115,TTFB,2024,,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,FC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,True,False,True,True,825
2023,116,BF3-THF,2025,,F[B-](F)(F)[O+]1CCCC1,F[B-](F)(F)[O+]1CCCC1,False,False,False,False,825
2023,117,C-LiMCFB,2025,,F[B-](F)(F)OCC1OCCOCCOCCOCCOC1,F[B-](F)(F)OCC1COCCOCCOCCOCCO1,False,False,False,False,825
2023,118,L-LiMCFB,2025,,F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+],COCCOCCOCCOCCOCCO[B-](F)(F)F.[Li+],False,False,False,False,825
2023,119,Li2TB,2025,,[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O,O=BOB([O-])OB([O-])OB=O.[Li+].[Li+],False,False,False,False,825
2023,120,LiBPh4,2025,,C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+],[Li+].c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,False,False,False,False,825
2023,121,LiFPB,2025,,FC(C1(C(F)(F)F)O[B-]2(OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)OC1(C(F)(F)F)C(F)(F)F)(F)F.[Li+],FC(F)(F)C1(C(F)(F)F)O[B-]2(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2.[Li+],False,False,False,False,825
2023,122,LiT4PAB,2025,,C=CCCC(O[B-](OC(CCC=C)=O)(OC(CCC=C)=O)OC(CCC=C)=O)=O.[Li+],C=CCCC(=O)O[B-](OC(=O)CCC=C)(OC(=O)CCC=C)OC(=O)CCC=C.[Li+],False,False,False,False,825
2023,123,MDMB,2025,,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,COB(OC)c1c(C)cc(C)cc1C,False,False,False,False,825
2023,124,NHCABT,2025,,FB(F)F.CN1CCN(C)C1,CN1CCN(C)C1.FB(F)F,False,False,False,False,825
2023,125,NaTFPB,2025,,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+],FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],False,False,False,False,825
